País,QT_ESTAT,KG_LIQUIDO,VL_FOB
Paraguai,3787109,3845037,5710087
Estados Unidos,445442,447174,1099938
Haiti,581733,563614,882307
Uruguai,318369,328905,468623
Angola,31525,56242,315073
China,64820,88014,222765
Venezuela,141030,141030,220512
Reino Unido,27266,27345,170836
Guiana,47006,47735,159878
Turquia,34950,34956,121862
Argentina,13138,13138,109372
Panamá,16366,19116,98411
Peru,46451,47385,85038
Portugal,15651,15811,84349
Bolívia,33321,33336,71431
Malta,7898,7750,67932
Japão,24416,24561,65891
Gana,11925,11956,65251
Hong Kong,12615,12775,59567
Canadá,15607,15607,57606
Itália,4228,4350,47385
Curaçao,26453,26423,47346
Dinamarca,4531,4524,41620
Serra Leoa,23471,23471,39835
Libéria,11400,12000,39363
Alemanha,4899,4901,33244
Suíça,2358,2944,33237
"Marshall, Ilhas",6673,7247,31121
"Congo, República Democrática",17100,17100,26600
Togo,14550,14550,25235
Taiwan (Formosa),5311,5307,23662
Maldivas,4559,4577,20204
Singapura,3202,3416,17823
Nigéria,10800,10800,16464
Chile,3581,3541,15938
França,2116,2257,14686
Austrália,1651,1655,11583
Nova Zelândia,534,641,11408
Colômbia,2376,2376,8157
Emirados Árabes Unidos,1391,1543,7384
Luxemburgo,599,599,7353
Bahamas,1072,1115,6607
Equador,3330,3330,6392
Malavi,2860,3660,6252
Suriname,3105,3105,5235
Espanha,180,209,4948
Países Baixos (Holanda),2203,2209,4908
"Tcheca, República",572,572,4584
Guatemala,2053,2053,3758
Noruega,689,746,3666
Grécia,723,1324,3449
Chipre,561,568,2947
"Cayman, Ilhas",423,443,2665
Finlândia,185,185,1781
Barein,272,286,1703
Antígua e Barbuda,401,366,1510
Tailândia,198,194,1413
Ilha de Man,199,199,1283
Polônia,322,424,1249
África do Sul,129,119,742
Bélgica,93,95,683
Coreia do Sul,96,96,387
Irlanda,150,150,377
Barbados,39,39,253
Filipinas,74,75,245
Índia,5,60,170
Bermudas,24,16,153
São Vicente e Granadinas,39,39,139
Palau,38,40,132
Vietnã,56,72,128
Arábia Saudita,56,116,109
São Cristóvão e Névis,18,16,31
Martinica,9,9,31
Indonésia,9,9,30
Pitcairn,10,11,22
México,3,3,19
Catar,5,5,18
Toquelau,3,3,10
Letônia,2,8,8
Macau,5,7,6
